step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,41,1,1.4006573198735717,0,0.29411764705882354,1.1983125798404217,0,0.29411764705882354
2,90,2,1.2988461520789616,0,0.23529411764705882,-1,-1,-1
3,139,3,1.451641686245178,0,0.18181818181818182,-1,-1,-1
4,188,4,1.3333984648187953,0,0.23809523809523808,-1,-1,-1
5,237,5,1.1601599826943128,0,0.35,-1,-1,-1
6,286,6,1.291081300502022,0,0.25,-1,-1,-1
7,335,7,1.3374899054567018,0,0.3157894736842105,-1,-1,-1
8,384,8,1.4348174153516688,0,0,-1,-1,-1
9,425,9,1.47638297110796,0,0.21052631578947367,0.9371883356167624,0,0.4117647058823529
10,466,10,1.5694313448667527,0,0.1111111111111111,-1,-1,-1
11,515,11,1.4810340782006581,0,0.3333333333333333,-1,-1,-1
12,564,12,1.1119269491483768,0,0.2631578947368421,-1,-1,-1
13,613,13,1.30858969281738,0,0.2,-1,-1,-1
14,654,14,1.2576480408012867,0,0.23529411764705882,-1,-1,-1
15,703,15,1.2226175861588369,0,0.3333333333333333,-1,-1,-1
16,752,16,1.3939616904458187,0,0.25,-1,-1,-1
17,801,17,1.1298962519213092,0,0.35294117647058826,1.014938830770552,0,0.5454545454545454
18,850,18,1.4261716951926549,0,0.2631578947368421,-1,-1,-1
19,891,19,1.3951360453665256,0,0.35294117647058826,-1,-1,-1
20,940,20,1.2509436310579378,0,0.21052631578947367,-1,-1,-1
21,989,21,1.692300674738362,0,0.1111111111111111,-1,-1,-1
22,1030,22,1.5994095729291438,0,0.21052631578947367,-1,-1,-1
23,1071,23,1.7581495535373688,0,0.058823529411764705,-1,-1,-1
24,1120,24,1.3568470550080138,0,0.10526315789473684,-1,-1,-1
25,1161,25,1.1348224790394308,0,0.42105263157894735,0.9569171867643793,0,0.5714285714285714
26,1210,26,1.5273421859950758,0,0.13636363636363635,-1,-1,-1
27,1259,27,1.4396002524221938,0,0.2,-1,-1,-1
28,1308,28,1.4458620791633925,0,0.2,-1,-1,-1
29,1357,29,1.3352593370402852,0,0.4,-1,-1,-1
30,1406,30,1.3215208445986113,0,0.25,-1,-1,-1
31,1447,31,1.4832545843720437,0,0.1875,-1,-1,-1
32,1496,32,1.2373605774715541,0,0.11764705882352941,-1,-1,-1
33,1537,33,1.70064810115844,0,0.16666666666666666,0.8530864695552737,0,0.55
34,1578,34,1.4295738926529884,0,0.3157894736842105,-1,-1,-1
35,1627,35,1.1865066415319838,0,0.3333333333333333,-1,-1,-1
36,1668,36,1.4203356048464775,0,0.2,-1,-1,-1
37,1717,37,1.3657342394193013,0,0.23809523809523808,-1,-1,-1
38,1766,38,1.3515251542131106,0,0.19047619047619047,-1,-1,-1
39,1815,39,1.213510229314367,0,0.2631578947368421,-1,-1,-1
40,1856,40,1.089538937956095,0,0.4117647058823529,-1,-1,-1
41,1905,41,1.137288277472059,0,0.3157894736842105,1.0788063921034334,0,0.4
42,1954,42,1.1395639062859118,0,0.2777777777777778,-1,-1,-1
43,2003,43,1.0774306590358416,0,0.2777777777777778,-1,-1,-1
44,2052,44,1.3517548928037286,0,0.45,-1,-1,-1
45,2093,45,1.5834768879786134,0,0.2777777777777778,-1,-1,-1
46,2134,46,1.5829969169944524,0,0.1111111111111111,-1,-1,-1
47,2175,47,1.5601116283237935,0,0.2777777777777778,-1,-1,-1
48,2224,48,1.3403637709096072,0,0.2,-1,-1,-1
49,2273,49,1.4528814412343003,0,0.2631578947368421,1.0246819435308376,0,0.5263157894736842
50,2322,50,1.6523201579848925,0,0.21052631578947367,-1,-1,-1
51,2371,51,1.4086572796106336,0,0.2222222222222222,-1,-1,-1
52,2412,52,1.3219359791814351,0,0.2777777777777778,-1,-1,-1
53,2461,53,1.2720840496321517,0,0.2857142857142857,-1,-1,-1
54,2510,54,0.8780201442850132,0,0.5,-1,-1,-1
55,2559,55,1.3122580117856462,0,0.2,-1,-1,-1
56,2608,56,1.2770487242843955,0,0.3181818181818182,-1,-1,-1
57,2657,57,1.243517260098209,0,0.3157894736842105,1.0345361453791457,0,0.06666666666666667
58,2706,58,1.2745896769066651,0,0.21052631578947367,-1,-1,-1
59,2755,59,1.310264813962082,0,0.45,-1,-1,-1
60,2804,60,1.1853253069294927,0,0.3,-1,-1,-1
61,2853,61,1.419925017406543,0,0.3181818181818182,-1,-1,-1
62,2894,62,1.485247421558015,0,0.2222222222222222,-1,-1,-1
63,2943,63,1.1189579904127944,0,0.4782608695652174,-1,-1,-1
64,2992,64,1.2599800426512957,0,0.2631578947368421,-1,-1,-1
65,3041,65,1.104606765291343,0,0.3157894736842105,0.865743824094534,0,0.6842105263157895
66,3090,66,1.240370212184886,0,0.25,-1,-1,-1
67,3131,67,1.3867312651872634,0,0.17647058823529413,-1,-1,-1
68,3172,68,1.3457139795273543,0,0.1111111111111111,-1,-1,-1
69,3221,69,1.2244872855022548,0,0.2631578947368421,-1,-1,-1
70,3262,70,1.3004718359932306,0,0.1875,-1,-1,-1
71,3311,71,1.2208350397646428,0,0.36363636363636365,-1,-1,-1
72,3352,72,1.6296420776844025,0,0.25,-1,-1,-1
73,3401,73,1.1793604977428913,0,0.2631578947368421,1.0279752904176713,0,0.5555555555555556
74,3450,74,1.330568870032827,0,0.25,-1,-1,-1
75,3499,75,1.296823882125318,0,0.3333333333333333,-1,-1,-1
76,3548,76,1.1978957145164408,0,0.3333333333333333,-1,-1,-1
77,3589,77,1.298262521363795,0,0.1875,-1,-1,-1
78,3630,78,1.2208575705438856,0,0.2,-1,-1,-1
79,3671,79,1.334700882106554,0,0.23529411764705882,-1,-1,-1
80,3720,80,1.1313921965658666,0,0.3333333333333333,-1,-1,-1
81,3769,81,1.404345211945474,0,0.36363636363636365,1.1027269344854478,0,0.6666666666666666
82,3818,82,1.460220720564636,0,0.05263157894736842,-1,-1,-1
83,3867,83,1.0398245663692554,0,0.3157894736842105,-1,-1,-1
84,3916,84,1.2387278503583121,0,0.3,-1,-1,-1
85,3957,85,1.2693078297376634,0,0.2,-1,-1,-1
86,4006,86,1.2660683915019035,0,0.34782608695652173,-1,-1,-1
87,4055,87,1.2024460296767452,0,0.10526315789473684,-1,-1,-1
88,4104,88,0.9830618634276713,0,0.3888888888888889,-1,-1,-1
89,4145,89,1.5551902344822885,0,0.15789473684210525,0.9631589950993658,0,0.3684210526315789
90,4194,90,0.9608940627891571,0,0.4444444444444444,-1,-1,-1
91,4243,91,1.2665719219483436,0,0.23809523809523808,-1,-1,-1
92,4292,92,1.318162484715382,0,0.3,-1,-1,-1
93,4341,93,1.1698987340700113,0,0.2777777777777778,-1,-1,-1
94,4382,94,1.3714353505522014,0,0.17647058823529413,-1,-1,-1
95,4423,95,1.3306789296120405,0,0.29411764705882354,-1,-1,-1
96,4472,96,1.2533554601172607,0,0.23809523809523808,-1,-1,-1
97,4521,97,0.9525024959817527,0,0.2777777777777778,1.0589745117002165,0,0.4
98,4562,98,1.545643835263327,0,0.21052631578947367,-1,-1,-1
99,4603,99,1.195699447095394,0,0.4117647058823529,-1,-1,-1
100,4652,100,1.3121740981199157,0,0.2777777777777778,-1,-1,-1
101,4693,101,1.2525252117961647,0,0.13333333333333333,-1,-1,-1
102,4742,102,1.3122219561288753,0,0.3,-1,-1,-1
103,4791,103,0.7364884748278806,0,0.6666666666666666,-1,-1,-1
104,4832,104,1.2948539443314075,0,0.3888888888888889,-1,-1,-1
105,4881,105,1.1845507118230065,0,0.4090909090909091,0.8275699793640524,0,0.5882352941176471
